iso_alpha,Country.of.Origin,Processing.Method,Harvest.Year,Average_Aroma,Average_Flavor,Average_Aftertaste,Average_Acidity,Average_Balance,Average_Sweetness,Average_Clean.Cup
THA,THAILAND,Washed / Wet,2012.0,7.648,7.584,7.632,7.768,7.634,9.732,9.734
THA,THAILAND,Washed / Wet,2013.0,7.292,7.312,7.168,7.502,7.23,10.0,10.0
THA,THAILAND,Washed / Wet,2014.0,7.428,7.551,7.469,7.605,7.532,10.0,10.0
THA,THAILAND,Washed / Wet,2015.0,7.5,7.58,7.75,7.5,7.67,10.0,10.0
THA,THAILAND,Washed / Wet,2019.0,8.057,8.083,7.89,7.917,8.027,10.0,10.0
THA,THAILAND,Washed / Wet,2020.0,8.057,8.083,7.89,7.917,8.027,10.0,10.0
THA,THAILAND,Washed / Wet,2022.0,7.75,7.832,7.75,7.835,7.708,10.0,10.0
THA,THAILAND,Washed / Wet,2023.0,7.793,7.845,7.658,7.834,7.73,10.0,10.0
THA,THAILAND,Washed / Wet,2024.0,7.792,7.843,7.649,7.829,7.729,10.0,10.0
TZA,"TANZANIA, UNITED REPUBLIC OF",Natural / Dry,2012.0,8.42,8.17,8.17,8.0,8.0,10.0,10.0
TZA,"TANZANIA, UNITED REPUBLIC OF",Semi-washed / Semi-pulped,2014.0,7.75,7.58,7.67,7.58,7.58,10.0,10.0
TZA,"TANZANIA, UNITED REPUBLIC OF",Unknown,2016.0,7.17,7.33,7.33,7.42,7.33,10.0,10.0
TZA,"TANZANIA, UNITED REPUBLIC OF",Washed / Wet,2012.0,7.67,7.5,7.33,7.25,7.75,10.0,10.0
TZA,"TANZANIA, UNITED REPUBLIC OF",Washed / Wet,2013.0,7.33,7.33,7.5,7.25,7.33,10.0,10.0
TZA,"TANZANIA, UNITED REPUBLIC OF",Washed / Wet,2014.0,7.549,7.417,7.416,7.515,7.474,10.0,10.0
TZA,"TANZANIA, UNITED REPUBLIC OF",Washed / Wet,2015.0,7.573,7.347,7.334,7.417,7.346,10.0,10.0
TZA,"TANZANIA, UNITED REPUBLIC OF",Washed / Wet,2016.0,7.536,7.318,7.286,7.434,7.316,10.0,10.0
TZA,"TANZANIA, UNITED REPUBLIC OF",Washed / Wet,2024.0,8.08,8.0,8.17,8.08,8.17,10.0,10.0
TZA,"TANZANIA, UNITED REPUBLIC OF",Washed / Wet,2025.0,8.08,8.0,8.17,8.08,8.17,10.0,10.0
UGA,UGANDA,Natural / Dry,2012.0,8.17,7.75,7.58,7.67,7.58,10.0,10.0
UGA,UGANDA,Natural / Dry,2013.0,7.816,7.686,7.552,7.682,7.568,10.0,10.0
UGA,UGANDA,Natural / Dry,2015.0,7.67,7.67,7.5,7.58,7.5,10.0,10.0
UGA,UGANDA,Pulped natural / honey,2022.0,7.33,7.25,7.33,7.25,7.0,10.0,10.0
UGA,UGANDA,Pulped natural / honey,2023.0,7.33,7.25,7.33,7.25,7.0,10.0,10.0
UGA,UGANDA,Semi-washed / Semi-pulped,2014.0,8.08,8.08,7.83,7.92,7.92,10.0,10.0
UGA,UGANDA,Washed / Wet,2012.0,7.98,7.832,7.665,7.875,7.812,10.0,10.0
UGA,UGANDA,Washed / Wet,2013.0,7.969,7.74,7.625,7.72,7.658,10.0,10.0
UGA,UGANDA,Washed / Wet,2014.0,8.0,7.67,7.5,7.42,7.58,10.0,10.0
UGA,UGANDA,Washed / Wet,2015.0,7.583,7.667,7.473,7.53,7.583,10.0,10.0
UGA,UGANDA,Washed / Wet,2016.0,8.045,7.835,7.71,7.75,7.75,10.0,10.0
UGA,UGANDA,Washed / Wet,2023.0,8.0,7.92,7.67,7.75,7.75,10.0,10.0
UGA,UGANDA,Washed / Wet,2024.0,8.0,7.92,7.67,7.75,7.75,10.0,10.0
YEM,YEMEN,Fermented in barrels with figs 4days,2023.0,8.33,8.25,8.08,8.17,8.08,10.0,10.0
ZMB,ZAMBIA,Natural / Dry,2024.0,7.75,7.92,7.75,7.92,7.75,10.0,10.0
ZMB,ZAMBIA,Washed / Wet,2014.0,7.67,7.08,7.42,7.33,7.42,10.0,10.0
ZMB,ZAMBIA,Washed / Wet,2024.0,7.58,7.75,7.67,7.83,7.67,10.0,10.0
