Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Sweetness,Mouthfeel,Uniformity,Clean.Cup,Balance,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Robusta,Bui Coffee Supply,Vietnam,BUI COFFEE SUPPLY,1,BUI COFFEE SUPPLY,,Bui Coffee Supply,1100,"Cầu Đất, Xuân Trường, Đà Lạt, Lâm Đồng",Bùi Công Cảnh,500,60 kg,HQJ Coffee School,2024,"July 12th, 2024",Bui Coffee Supply,Sẻ 138,Natural / Dry,,8.33,8.08,,,,,10.0,8.08,,85.42,0.117,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Huong Nguyen,Vietnam,48 - Daklao Café,1,48 - Daklao Café,,48 – Café Daklao,750,"Đắk Song, Đắk Nông",Đặng Văn Sự,117,60 kg,HQJ Coffee School,2023,"July 12th, 2024",Huong Nguyen,TR4,Natural / Dry,,8.33,8.08,,,,,10.0,8.08,,85.17,0.102,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Huong Nguyen,Vietnam,48 - Daklao Café,1,48 - Daklao Café,,48 – Café Daklao,750,"Đắk Song, Đắk Nông",Đặng Văn Sự,117,60 kg,HQJ Coffee School,2024,"July 12th, 2024",Huong Nguyen,TR4,Natural / Dry,,8.33,8.08,,,,,10.0,8.08,,85.17,0.102,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,katekanok,Thailand,Fly Robusta,1,dry mill,,Fly robusta,120,Chumphon south of Thailand,Katekanok,2,10 kg,Specialty Coffee Institute of Thailand,2023,"October 29th, 2024",katekanok,,Natural / Dry,,8.25,8.17,,,,,10.0,8.0,,85.17,0.125,0 full defects,0,yellow - green,5 full defects,,,,,,,,
Robusta,katekanok,Thailand,Fly Robusta,1,dry mill,,Fly robusta,120,Chumphon south of Thailand,Katekanok,2,10 kg,Specialty Coffee Institute of Thailand,2024,"October 29th, 2024",katekanok,,Natural / Dry,,8.25,8.17,,,,,10.0,8.0,,85.17,0.125,0 full defects,0,yellow - green,5 full defects,,,,,,,,
Robusta,Jaree Manob,Thailand,Phutawan Robusta Krabi,Special Lot,PANA Coffee,,.,170,"Plai Phraya, Krabi",Chari Manob,1,10 kg,Coffee Quality Institute,2023,"April 5th, 2024",Jaree Manob,,Natural / Dry,,8.25,8.08,,,,,10.0,8.0,,85.0,0.108,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Jaree Manob,Thailand,Phutawan Robusta Krabi,Special Lot,PANA Coffee,,.,170,"Plai Phraya, Krabi",Chari Manob,1,10 kg,Coffee Quality Institute,2024,"April 5th, 2024",Jaree Manob,,Natural / Dry,,8.25,8.08,,,,,10.0,8.0,,85.0,0.108,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,HIEP HOI CA PHE BUON MA THUOT,Vietnam,The Espresso Farm,HH AMAZING R026,DRY,,HIEPHOICAPHEBUONMATHUOT,700-900,DAKLAK,The Espresso Farm,42,60 kg,STONE VILLAGE LAB VIETNAM,2023,"July 9th, 2024",HIEP HOI CA PHE BUON MA THUOT,ROBUSTA,Natural / Dry,,8.17,8.08,,,,,10.0,8.17,,84.92,0.12,0 full defects,0,Blue-Green,0 full defects,,,,,,,,
Robusta,HIEP HOI CA PHE BUON MA THUOT,Vietnam,The Espresso Farm,HH AMAZING R026,DRY,,HIEPHOICAPHEBUONMATHUOT,700-900,DAKLAK,The Espresso Farm,42,60 kg,STONE VILLAGE LAB VIETNAM,2024,"July 9th, 2024",HIEP HOI CA PHE BUON MA THUOT,ROBUSTA,Natural / Dry,,8.17,8.08,,,,,10.0,8.17,,84.92,0.12,0 full defects,0,Blue-Green,0 full defects,,,,,,,,
Robusta,LÊ TẤN ĐẠT,Vietnam,BẾN SẠN TÂY,1,BẾN SẠN TÂY,,BTS COFFEE & FLOWER,500,"xã cư suê, huyện cư m’gar,đắk lắk",BẾN SẠN TÂY,25,40 kg,Coffee Quality Union,2022,"April 8th, 2024",LÊ TẤN ĐẠT,Robusta,Natural / Dry,,8.25,8.08,,,,,10.0,8.0,,84.92,0.117,0 full defects,2,brownish,4 full defects,,,,,,,,
